StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:30:17.692	-0.6694	0.0356	1.1704	-1.2207	-1.2207	2.5635	1.9446	29.0479	32.9645	37.1771 
0x50	16:30:17.722	-0.6606	0.0322	1.1924	1.5869	1.1597	0.6714	1.9501	29.1138	33.0249	37.1918 
0x50	16:30:17.771	-0.6558	0.0283	1.2153	-1.0376	1.0986	0.6104	1.8732	29.1632	33.0743	37.1771 
0x50	16:30:17.820	-0.6533	0.0332	1.2031	-2.4414	0.0000	-2.8687	1.7358	29.1028	32.9480	37.1800 
0x50	16:30:17.853	-0.6514	0.0269	1.1772	5.0049	-4.0283	-2.1362	1.8787	28.9215	32.7997	37.1859 
0x50	16:30:17.936	-0.6680	0.0405	1.2212	-4.3945	-4.3335	-1.6479	1.5765	28.8007	32.6349	37.1800 
0x50	16:30:17.951	-0.6450	0.0181	1.1929	7.7515	-6.1035	-0.6104	1.9061	28.4436	32.6788	37.1771 
0x50	16:30:17.999	-0.6499	0.0464	1.2129	3.9063	-6.7749	-7.6904	1.8347	28.1799	32.2394	37.1683 
0x50	16:30:18.048	-0.6587	0.0313	1.1821	0.4883	-8.4229	0.0000	1.9061	27.7899	32.1075	37.1800 
0x50	16:30:18.128	-0.6191	0.0410	1.2046	-2.3193	-8.6670	2.1362	1.8567	27.3724	32.2009	37.1830 
0x50	16:30:18.146	-0.6528	0.0391	1.2056	1.4038	-12.5732	2.6855	1.8457	26.8506	32.2284	37.1683 
0x50	16:30:18.195	-0.6006	0.0361	1.2129	-6.5918	-7.8735	1.0986	1.5491	26.4880	32.3712	37.1653 
0x50	16:30:18.245	-0.6064	0.0352	1.2153	-0.4272	-14.3433	3.9063	1.5271	25.8179	32.5085	37.1800 
0x50	16:30:18.321	-0.5923	0.0322	1.1987	-4.0894	-12.2070	-1.4038	1.2634	25.1532	32.3822	37.1683 
0x50	16:30:18.342	-0.5786	0.0293	1.1997	1.1597	-11.5356	2.9907	1.2799	24.6204	32.4701	37.1771 
0x50	16:30:18.390	-0.5566	0.0195	1.1768	-2.0752	-14.2822	-0.2441	1.1591	23.9282	32.4426	37.1653 
0x50	16:30:18.440	-0.5645	0.0190	1.1851	-2.8687	-14.7095	2.1973	1.0437	23.1921	32.4646	37.1800 
0x50	16:30:18.518	-0.5244	0.0205	1.2036	0.8545	-12.8174	1.0986	1.1041	22.5659	32.5140	37.1565 
0x50	16:30:18.537	-0.5376	0.0234	1.2183	-2.3804	-13.8550	0.1831	0.9283	21.9397	32.4701	37.1624 
0x50	16:30:18.586	-0.5098	0.0161	1.2080	1.2207	-14.7705	1.4648	1.0107	21.2311	32.5360	37.1536 
0x50	16:30:18.635	-0.5195	0.0234	1.2017	2.5024	-11.1084	-0.4883	1.0437	20.7147	32.4481	37.1653 
0x50	16:30:18.715	-0.4922	0.0249	1.1895	1.6479	-12.3291	-1.7090	1.0931	20.1434	32.3492	37.1683 
0x50	16:30:18.733	-0.4780	0.0225	1.2095	-0.6714	-10.4370	2.3193	1.0602	19.6930	32.4591	37.1683 
0x50	16:30:18.781	-0.4746	0.0249	1.2139	0.0000	-12.0850	0.0000	1.0602	19.1272	32.4481	37.1565 
