StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:55:13.527	-0.1558	-0.9238	0.1196	-1.0376	2.8076	8.1177	-84.5618	7.1906	-5.3668	40.0507 
0x50	14:55:13.577	-0.1602	-0.9102	0.1143	-9.3994	15.3809	20.5078	-85.0781	8.3167	-6.0480	40.0448 
0x50	14:55:13.626	-0.2090	-0.9004	0.1182	19.5313	61.3403	-8.9111	-84.7375	8.6847	-8.3606	40.0448 
0x50	14:55:13.677	-0.1655	-0.9248	0.1255	6.9580	105.8350	-33.6304	-85.1331	7.5311	-13.8428	40.0448 
0x50	14:55:13.726	-0.1372	-0.8906	0.1533	39.3066	115.9668	-3.6011	-83.1885	7.3993	-19.9677	40.0390 
0x50	14:55:13.776	-0.1870	-0.9141	0.1597	0.6104	39.1846	-32.4707	-83.3588	6.1194	-22.1210	40.0537 
0x50	14:55:13.826	-0.1602	-0.9600	0.1636	-11.4746	43.8843	-3.9063	-83.5840	6.1084	-24.3512	40.0595 
0x50	14:55:13.876	-0.0356	-0.9150	0.1362	30.5176	106.2622	-28.3813	-82.5897	5.2515	-29.8224	40.0390 
0x50	14:55:13.927	-0.1606	-0.9004	0.1563	-5.1880	96.5576	-31.0669	-83.2214	4.3945	-34.4696	40.0390 
0x50	14:55:13.976	-0.0522	-0.8477	0.1733	3.9673	98.3887	-39.8560	-83.2874	2.9938	-39.6002	40.0507 
0x50	14:55:14.035	-0.0620	-0.9395	0.1973	6.3477	102.2949	-24.9023	-82.9193	1.9006	-44.8077	40.0478 
0x50	14:55:14.076	-0.0811	-0.8877	0.1919	4.3945	99.1211	-18.7378	-82.8040	1.8512	-49.7900	40.0360 
0x50	14:55:14.126	-0.1064	-0.8770	0.1318	-2.1973	73.9746	-38.2690	-82.9742	0.9888	-53.7836	40.0390 
0x50	14:55:14.175	-0.0581	-0.9326	0.2104	18.0664	112.9761	-36.0107	-81.9360	-0.7306	-59.2328	40.0478 
0x50	14:55:14.225	-0.0601	-0.9038	0.2061	5.9204	156.2500	-22.0337	-81.5405	-0.4175	-66.7969	40.0448 
0x50	14:55:14.275	-0.0366	-0.8989	0.2476	-15.7471	105.8960	-27.0386	-81.4581	-1.0822	-73.2074	40.0390 
0x50	14:55:14.325	-0.0693	-0.9233	0.1953	-20.1416	104.1260	12.8174	-82.7271	-0.0879	-77.8546	40.0419 
0x50	14:55:14.375	-0.0684	-0.8848	0.1919	-6.2256	59.2041	-13.1836	-82.8534	0.3076	-81.6724	40.0507 
0x50	14:55:14.425	-0.0947	-0.9258	0.1997	-11.0474	55.5420	32.1045	-83.3313	1.7853	-84.4574	40.0419 
0x50	14:55:14.475	-0.1436	-0.9268	0.1616	-33.9355	47.8516	63.5986	-84.6606	5.0977	-86.3690	40.0507 
0x50	14:55:14.524	-0.1968	-0.9048	0.1523	8.7280	66.5894	7.0801	-84.4299	6.1688	-89.3408	40.0419 
0x50	14:55:14.574	-0.2017	-0.9067	0.1748	-6.6528	58.1055	-2.8076	-84.8364	6.3776	-92.5818	40.0360 
0x50	14:55:14.625	-0.1807	-0.8857	0.1255	-13.9160	69.3359	27.2827	-85.8582	8.1079	-95.9436	40.0331 
0x50	14:55:14.675	-0.2285	-0.9116	0.1274	-16.2964	113.7085	22.8271	-87.4072	9.5306	-101.1292	40.0390 
0x50	14:55:14.724	-0.2529	-0.9009	0.0967	-11.2915	144.2871	31.7993	-89.1376	11.4862	-108.3911	40.0419 
0x50	14:55:14.774	-0.3262	-0.8589	0.0596	-22.7051	130.0659	22.7661	-91.7194	13.0188	-114.7412	40.0390 
0x50	14:55:14.824	-0.3135	-0.8999	0.0137	1.5259	77.6367	-4.0283	-92.4719	12.8156	-118.7128	40.0390 
0x50	14:55:14.875	-0.2998	-0.8813	0.0176	12.3901	-8.2397	-12.1460	-91.6479	12.3267	-118.8666	40.0242 
0x50	14:55:14.925	-0.2988	-0.8901	0.0156	4.0894	23.2544	1.5869	-91.6479	12.4969	-120.0586	40.0272 
0x50	14:55:14.973	-0.2744	-0.9077	0.0264	23.4985	-4.8828	-31.4941	-90.7910	11.5741	-120.1355	40.0390 
0x50	14:55:15.031	-0.2798	-0.8936	0.0381	18.1885	0.2441	-19.2261	-89.8297	10.7446	-120.1410	40.0448 
0x50	14:55:15.073	-0.2593	-0.9116	0.0620	32.1655	7.1411	-32.2876	-88.2092	9.0857	-120.4816	40.0272 
0x50	14:55:15.123	-0.2036	-0.8901	0.0903	26.9165	-14.2212	-31.3721	-86.7041	7.5861	-119.8224	40.0360 
0x50	14:55:15.174	-0.1655	-0.9072	0.0933	26.1230	33.0200	-38.2080	-85.7977	6.2183	-121.5308	40.0390 
0x50	14:55:15.223	-0.1675	-0.9316	0.1333	13.3667	3.3569	-13.8550	-85.0836	5.6305	-121.7505	40.0242 
0x50	14:55:15.273	-0.1807	-0.9023	0.1392	7.2632	-2.5024	-6.8970	-84.6222	5.5591	-121.7560	40.0360 
0x50	14:55:15.323	-0.1611	-0.8896	0.1211	17.0898	-35.8887	-36.8042	-83.5895	3.6749	-120.1410	40.0331 
0x50	14:55:15.373	-0.1509	-0.9331	0.1289	-5.2490	-43.0908	34.3018	-83.4412	4.7900	-117.9437	40.0390 
0x50	14:55:15.423	-0.1553	-0.9272	0.1182	-3.6621	-6.9580	6.1646	-83.5730	5.1416	-117.5647	40.0419 
0x50	14:55:15.473	-0.1904	-0.9170	0.1470	-3.7231	-10.9253	6.5918	-83.7433	5.7349	-117.2461	40.0390 
0x50	14:55:15.523	-0.1797	-0.9023	0.1348	-0.1831	-26.0620	-6.1646	-83.5840	5.3998	-115.9772	40.0301 
0x50	14:55:15.573	-0.1567	-0.9131	0.1401	4.1504	-42.4805	1.9531	-83.1171	5.2130	-113.6865	40.0272 
