StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:54:25.330	-0.0342	0.8452	0.6260	90.2100	-3.6621	5.9814	55.5688	1.9940	-21.4233	40.5949 
0x50	14:54:25.379	-0.0229	0.8682	0.6001	85.2661	18.6768	10.6812	59.7986	2.0490	-20.3522	40.5978 
0x50	14:54:25.429	-0.0156	0.9170	0.5225	30.8228	-7.9346	-6.1035	61.5179	2.0819	-20.5664	40.6066 
0x50	14:54:25.479	-0.0278	0.9565	0.5146	45.5322	5.5542	1.4648	63.7756	2.1313	-20.2863	40.5949 
0x50	14:54:25.530	-0.0273	0.9585	0.4878	31.1279	-8.6670	-8.1787	65.4950	2.2357	-20.9454	40.6007 
0x50	14:54:25.579	-0.0254	0.9917	0.4570	53.0396	-11.2915	1.0986	68.0823	1.9391	-21.4398	40.6037 
0x50	14:54:25.629	-0.0420	0.9707	0.4033	40.2222	-8.3618	9.6436	70.0049	1.6864	-21.3959	40.6007 
0x50	14:54:25.679	-0.0278	0.9697	0.3853	28.8696	-9.6436	-10.1929	71.3727	1.9940	-22.0221	40.5949 
0x50	14:54:25.728	-0.0298	1.0444	0.3730	15.4419	-1.5259	-7.2632	72.1198	2.4664	-22.1210	40.5978 
0x50	14:54:25.778	-0.0264	1.0391	0.3550	10.8643	0.0000	4.0283	72.5867	2.4280	-22.0660	40.5978 
0x50	14:54:25.828	-0.0337	1.0073	0.3418	4.1504	2.8687	-6.6528	72.9932	2.6697	-21.9287	40.5949 
0x50	14:54:25.878	-0.0376	1.0435	0.3491	13.3667	-1.3428	-6.0425	73.3557	2.9224	-22.0386	40.5890 
0x50	14:54:25.928	-0.0488	1.0269	0.3154	-8.5449	5.6763	5.6763	73.4216	2.9059	-21.8024	40.5890 
0x50	14:54:25.978	-0.0493	1.0273	0.3433	-13.9771	-11.1084	10.8032	72.5317	2.2028	-21.9012	40.6007 
0x50	14:54:26.028	-0.0137	1.0166	0.3384	2.6855	3.2959	-4.6387	72.6416	2.3456	-21.9836	40.6096 
0x50	14:54:26.099	-0.0430	1.0181	0.3511	-13.9771	3.3569	-3.2349	72.1417	2.5378	-21.8243	40.6066 
0x50	14:54:26.127	-0.0234	1.0195	0.3530	-7.6904	1.5869	0.9155	71.6858	2.6038	-21.7365	40.6007 
0x50	14:54:26.177	-0.0459	1.0112	0.3667	-18.7378	4.6387	-2.6245	70.9937	2.7026	-21.5607	40.6066 
0x50	14:54:26.227	-0.0532	0.9937	0.3984	-67.3218	12.0850	-3.6011	68.1647	3.1750	-21.1432	40.6096 
0x50	14:54:26.277	-0.0503	0.9624	0.4600	-112.1216	14.5874	10.1929	62.7155	3.1641	-20.4510	40.6066 
0x50	14:54:26.326	-0.0591	0.9302	0.5669	-98.6938	2.6855	-7.0801	57.6233	3.5321	-20.4291	40.6066 
0x50	14:54:26.376	-0.0376	0.8760	0.5947	-64.2090	27.8931	7.5684	54.0417	3.8452	-19.6051	40.6066 
0x50	14:54:26.426	-0.0713	0.8579	0.6348	-70.4956	12.7563	5.4932	50.6030	4.0045	-18.9294	40.6096 
0x50	14:54:26.487	-0.0654	0.7803	0.7041	-85.6323	0.6104	-6.0425	45.9448	4.3890	-18.9899	40.6007 
0x50	14:54:26.527	-0.0801	0.7476	0.7954	-133.3618	11.3525	-2.2583	39.3420	4.8615	-18.6768	40.5949 
0x50	14:54:26.576	-0.0693	0.6401	0.8262	-95.0317	0.4883	-0.6104	34.0356	5.1141	-18.4955	40.6066 
0x50	14:54:26.627	-0.0742	0.5889	0.8867	-103.6987	-16.7847	4.0894	28.8940	4.2902	-18.7811	40.6154 
0x50	14:54:26.676	-0.0503	0.4780	0.9009	-92.2241	-20.6299	4.3335	23.9008	3.1201	-19.0503	40.6066 
0x50	14:54:26.726	-0.0635	0.4204	0.9482	-70.9229	-2.3804	14.4653	20.4401	2.7411	-18.4296	40.6184 
0x50	14:54:26.776	-0.0498	0.3105	0.9834	-113.8306	2.8687	4.5776	14.9634	2.8729	-18.2867	40.6184 
0x50	14:54:26.826	-0.0488	0.2524	1.0098	-104.3701	-3.6011	4.9438	9.8163	2.6422	-18.0890	40.6066 
0x50	14:54:26.882	-0.0283	0.1357	0.9985	-111.1450	11.3525	-4.3335	4.1034	3.0377	-18.1329	40.6066 
0x50	14:54:26.925	-0.0361	0.0903	1.0220	-71.8994	2.4414	2.6245	0.5878	3.1311	-17.9956	40.6125 
0x50	14:54:26.975	-0.0640	-0.0093	0.9995	-70.9839	15.6250	18.6768	-2.9443	3.6310	-17.2266	40.6096 
0x50	14:54:27.026	-0.0562	-0.0396	0.9854	-49.4995	1.0986	2.5635	-5.3613	3.6859	-17.1002	40.6184 
0x50	14:54:27.075	-0.0840	-0.1230	0.9731	-82.0313	18.0054	4.8218	-9.2120	4.3945	-16.9135	40.6154 
0x50	14:54:27.125	-0.0918	-0.1724	0.9692	-68.0542	22.9492	-10.1318	-12.6343	5.4382	-17.6166	40.6154 
0x50	14:54:27.174	-0.1118	-0.2246	0.9385	-75.0732	30.8228	-3.1738	-16.1884	6.9763	-18.1165	40.6154 
0x50	14:54:27.224	-0.1226	-0.2715	0.9355	-48.9502	16.1133	-3.8452	-18.6493	7.6849	-18.5394	40.6184 
0x50	14:54:27.277	-0.1260	-0.2949	0.9092	-3.4180	-4.5166	-10.8643	-19.3909	7.5751	-18.7811	40.6154 
0x50	14:54:27.324	-0.1089	-0.2896	0.9404	15.8081	-10.4980	-14.7095	-18.6328	6.8225	-19.3085	40.6154 
0x50	14:54:27.374	-0.1172	-0.2378	0.9517	55.6641	-16.6626	-3.9063	-16.2598	5.9711	-19.3304	40.6184 
0x50	14:54:27.425	-0.1152	-0.2495	0.9639	3.6621	-5.4932	1.5259	-16.0291	5.7458	-19.1766	40.6154 
0x50	14:54:27.474	-0.0957	-0.2432	0.9497	24.0479	4.3335	0.9766	-14.9359	5.9106	-19.0997	40.6125 
0x50	14:54:27.524	-0.0879	-0.2026	0.9497	46.8750	0.5493	-14.5264	-12.6398	5.7458	-19.8138	40.6184 
0x50	14:54:27.574	-0.1060	-0.1924	0.9761	21.4233	1.8311	4.0894	-11.8433	5.8008	-19.5447	40.6272 
0x50	14:54:27.623	-0.1050	-0.1689	0.9775	21.6675	5.8594	5.0659	-10.7117	6.1359	-19.3524	40.6154 
0x50	14:54:27.673	-0.1021	-0.1577	0.9810	13.0005	4.4556	0.5493	-10.2393	6.3007	-19.2316	40.6184 
0x50	14:54:27.725	-0.1123	-0.1392	0.9697	18.7378	3.9673	5.3711	-9.2450	6.5424	-19.0009	40.6154 
0x50	14:54:27.773	-0.1133	-0.1465	0.9751	-0.7935	4.0894	7.2632	-9.3823	6.8555	-18.5724	40.6302 
0x50	14:54:27.823	-0.1113	-0.1411	0.9893	16.0522	-3.1128	-2.8076	-8.5803	6.6742	-18.6877	40.6302 
0x50	14:54:27.873	-0.1172	-0.1255	0.9751	4.1504	1.4038	9.3384	-8.4100	6.7401	-18.3142	40.6331 
0x50	14:54:27.923	-0.1221	-0.1377	0.9946	2.0142	-1.7090	3.4790	-8.2782	6.6852	-18.1274	40.6184 
0x50	14:54:27.973	-0.1221	-0.1338	0.9751	1.7090	1.7090	1.6479	-8.1903	6.6028	-17.9791	40.6096 
0x50	14:54:28.023	-0.1108	-0.1206	0.9814	4.6997	6.2256	4.3945	-7.9156	6.9324	-17.8033	40.6243 
0x50	14:54:28.073	-0.1172	-0.1157	0.9956	-1.4648	-2.0752	3.3569	-7.8717	6.7786	-17.5836	40.6213 
0x50	14:54:28.123	-0.1128	-0.1216	0.9790	-0.4883	2.3804	5.0659	-7.8552	6.9269	-17.3474	40.6213 
0x50	14:54:28.173	-0.1206	-0.1187	0.9893	-1.5869	4.8828	4.9438	-7.7728	7.2235	-17.1332	40.6302 
0x50	14:54:28.223	-0.1260	-0.1206	0.9893	1.4038	0.9766	1.9531	-7.6849	7.3114	-16.9849	40.6066 
0x50	14:54:28.272	-0.1284	-0.1147	1.0039	3.6011	-0.1831	4.6387	-7.2894	7.3444	-16.7926	40.6331 
0x50	14:54:28.322	-0.1299	-0.1079	0.9995	2.5635	-0.2441	1.0986	-7.2180	7.3553	-16.7157	40.6243 
0x50	14:54:28.371	-0.1294	-0.1118	0.9692	-3.4790	0.8545	1.6479	-7.3059	7.3828	-16.5674	40.6213 
0x50	14:54:28.421	-0.1289	-0.1113	0.9893	7.5073	-0.5493	2.2583	-6.9708	7.3444	-16.4960	40.6243 
0x50	14:54:28.472	-0.1240	-0.0933	0.9961	2.8687	1.7090	3.7842	-6.6742	7.4872	-16.3477	40.6184 
